,Title,Genre,Rating
1,12 Years a Slave†(2013),Biography,8.1
2,127 Hours†(2010),Adventure,7.6
3,50/50†(2011),Comedy,7.7
4,About Time†(2013),Comedy,7.8
5,Amour†(2012),Drama,7.9
6,Argo†(2012),Action,7.7
7,Arrival†(2016),Drama,8
8,Beasts of No Nation†(2015),Drama,7.8
9,Before Midnight†(2013),Drama,7.9
10,Big Hero 6†(2014),Animation,7.8
11,Birdman or (The Unexpected Virtue of Ignorance)†(2014),Comedy,7.8
12,Black Swan†(2010),Drama,8
13,Boyhood†(2014),Drama,7.9
14,Bridge of Spies†(2015),Drama,7.6
15,Captain America: Civil War†(2016),Action,7.9
16,Captain America: The Winter Soldier†(2014),Action,7.8
17,Captain Fantastic†(2016),Comedy,7.9
18,Captain Phillips†(2013),Biography,7.8
19,Creed†(2015),Drama,7.6
20,Dallas Buyers Club†(2013),Biography,8
21,Dawn of the Planet of the Apes†(2014),Action,7.6
22,Deadpool†(2016),Action,8
23,Despicable Me†(2010),Animation,7.7
24,Detachment†(2011),Drama,7.7
25,Disconnect†(2012),Drama,7.6
26,Django Unchained†(2012),Drama,8.4
27,Doctor Strange†(2016),Action,7.6
28,Drive†(2011),Crime,7.8
29,Edge of Tomorrow†(2014),Action,7.9
30,End of Watch†(2012),Crime,7.7
31,Ex Machina†(2014),Drama,7.7
32,Flipped†(2010),Comedy,7.7
33,Fury†(2014),Action,7.6
34,Gone Girl†(2014),Crime,8.1
35,Gravity†(2013),Drama,7.8
36,Guardians of the Galaxy†(2014),Action,8.1
37,Hacksaw Ridge†(2016),Biography,8.2
38,Harry Potter and the Deathly Hallows: Part 1†(2010),Adventure,7.7
39,Hell or High Water†(2016),Crime,7.7
40,Her†(2013),Drama,8
41,Hidden Figures†(2016),Biography,7.8
42,How to Train Your Dragon 2†(2014),Animation,7.9
43,How to Train Your Dragon†(2010),Animation,8.1
44,Hugo†(2011),Adventure,7.5
45,Hunt for the Wilderpeople†(2016),Adventure,7.9
46,"I, Daniel Blake†(2016)",Drama,7.9
47,Inception†(2010),Action,8.8
48,Inside Out†(2015),Animation,8.2
49,Interstellar†(2014),Adventure,8.6
50,Kick-Ass†(2010),Action,7.7
51,Kingsman: The Secret Service†(2014),Action,7.7
52,Kubo and the Two Strings†(2016),Animation,7.8
53,La La Land†(2016),Comedy,8.2
54,Les Mis√©rables†(2012),Drama,7.6
55,Lion†(2016),Biography,8.1
56,Lone Survivor†(2013),Action,7.5
57,Mad Max: Fury Road†(2015),Action,8.1
58,Manchester by the Sea†(2016),Drama,7.9
59,Me and Earl and the Dying Girl†(2015),Comedy,7.8
60,Midnight in Paris†(2011),Comedy,7.7
61,Moana†(2016),Animation,7.7
62,Moneyball†(2011),Biography,7.6
63,Moonrise Kingdom†(2012),Adventure,7.8
64,Nebraska†(2013),Adventure,7.7
65,Nightcrawler†(2014),Crime,7.9
66,Philomena†(2013),Biography,7.6
67,Pride†(2014),Biography,7.8
68,Prisoners†(2013),Crime,8.1
69,Rise of the Planet of the Apes†(2011),Action,7.6
70,Rogue One†(2016),Action,7.9
71,Rush†(2013),Action,8.1
72,Scott Pilgrim vs. the World†(2010),Action,7.5
73,Short Term 12†(2013),Drama,8
74,Shutter Island†(2010),Mystery,8.1
75,Sicario†(2015),Action,7.6
76,Silver Linings Playbook†(2012),Comedy,7.8
77,Sing Street†(2016),Comedy,8
78,Skyfall†(2012),Action,7.8
79,Spotlight†(2015),Crime,8.1
80,Star Trek Into Darkness†(2013),Action,7.8
81,Star Wars: The Force Awakens†(2015),Action,8.1
82,Straight Outta Compton†(2015),Biography,7.9
83,Tangled†(2010),Animation,7.8
84,The Artist†(2011),Comedy,7.9
85,The Avengers†(2012),Action,8.1
86,The Big Short†(2015),Biography,7.8
87,The Book Thief†(2013),Drama,7.6
88,The Dark Knight Rises†(2012),Action,8.4
89,The Fault in Our Stars†(2014),Drama,7.8
90,The Fighter†(2010),Action,7.8
91,The Girl with the Dragon Tattoo†(2011),Crime,7.8
92,The Grand Budapest Hotel†(2014),Adventure,8.1
93,The Help†(2011),Drama,8.1
94,The Hobbit: An Unexpected Journey†(2012),Adventure,7.9
95,The Hobbit: The Desolation of Smaug†(2013),Adventure,7.9
96,The Hunger Games: Catching Fire†(2013),Action,7.6
97,The Imitation Game†(2014),Biography,8.1
98,The King's Speech†(2010),Biography,8
99,The Lego Movie†(2014),Animation,7.8
100,The Little Prince†(2015),Animation,7.8
101,The Martian†(2015),Adventure,8
102,The Perks of Being a Wallflower†(2012),Drama,8
103,The Revenant†(2015),Adventure,8
104,The Social Network†(2010),Biography,7.7
105,The Theory of Everything†(2014),Biography,7.7
106,The Town†(2010),Crime,7.6
107,The Wolf of Wall Street†(2013),Biography,8.2
108,Toy Story 3†(2010),Animation,8.3
109,True Grit†(2010),Adventure,7.6
110,Tucker and Dale vs Evil†(2010),Comedy,7.6
111,Tyrannosaur†(2011),Drama,7.6
112,Warrior†(2011),Action,8.2
113,What We Do in the Shadows†(2014),Comedy,7.6
114,Whiplash†(2014),Drama,8.5
115,Wreck-It Ralph†(2012),Animation,7.7
116,X-Men: Days of Future Past†(2014),Action,8
117,X-Men: First Class†(2011),Action,7.8
118,Zootopia†(2016),Animation,8.1
